Date,Price,Volume
2012-03-10,4.99,202433.022814
2012-03-11,4.95915,111077.907704
2012-03-12,4.98,0.0
2012-03-13,5.4444,373636.887535
2012-03-14,5.45,260320.838894
2012-03-15,5.45,0.0
2012-03-16,5.3998,149637.957297
2012-03-17,5.37998,212994.983972
2012-03-18,5.4,0.0
2012-03-19,4.98,763389.52049
2012-03-20,4.87,246229.48822
2012-03-21,4.95,0.0
2012-03-22,4.83,335345.642284
2012-03-23,4.74896,214667.030354
2012-03-24,4.81,0.0
2012-03-25,4.73793,330843.537977
2012-03-26,4.74,282240.280127
2012-03-27,4.74,0.0
2012-03-28,4.86092,186601.091402
2012-03-29,4.83,163903.618157
2012-03-30,4.85,0.0
2012-03-31,4.929,174322.463399
2012-04-01,5.08,363920.435727
2012-04-02,4.97,0.0
2012-04-03,4.97,305609.316704
2012-04-04,4.94486,181999.040944
2012-04-05,4.96,0.0
2012-04-06,4.98,410663.8892
2012-04-07,4.8,268961.962356
2012-04-08,4.94,0.0
2012-04-09,4.9,279791.163535
2012-04-10,4.8941,211884.238374
2012-04-11,4.9,0.0
2012-04-12,4.94464,393935.342303
2012-04-13,5.03,453609.726954
2012-04-14,4.97,0.0
2012-04-15,4.98,143852.478345
2012-04-16,5.02207,162666.85324
2012-04-17,4.99,0.0
2012-04-18,5.19,208230.251141
2012-04-19,5.17,251079.271135
2012-04-20,5.19,0.0
2012-04-21,5.3287,177455.107444
2012-04-22,5.21799,175572.355384
2012-04-23,5.3,0.0
2012-04-24,5.16,200035.852952
2012-04-25,5.18,312026.861147
2012-04-26,5.16,0.0
2012-04-27,5.1176,479852.201416
2012-04-28,5.0184,110804.128092
2012-04-29,5.09,0.0
2012-04-30,5.0,190453.785172
2012-05-01,5.1789,510833.583157
2012-05-02,5.04,0.0
2012-05-03,5.15,170522.155599
2012-05-04,5.1495,164735.277546
2012-05-05,5.15,0.0
2012-05-06,5.0947,211685.067183
2012-05-07,5.1,354303.677863
2012-05-08,5.1,0.0
2012-05-09,5.125,197645.357425
2012-05-10,5.03188,419431.883591
2012-05-11,5.1,0.0
2012-05-12,4.99888,93828.2345516
2012-05-13,5.036,216470.671448
2012-05-14,5.01,0.0
2012-05-15,5.08998,282259.95375
2012-05-16,5.1345,249436.723394
2012-05-17,5.1,0.0
2012-05-18,5.14291,148239.480876
2012-05-19,5.15,91465.9003368
2012-05-20,5.14,0.0
2012-05-21,5.12,222442.350259
2012-05-22,5.16,311516.23766
2012-05-23,5.13,0.0
2012-05-24,5.15,103589.31678
2012-05-25,5.149,108596.391819
2012-05-26,5.15,0.0
2012-05-27,5.16,121688.880643
2012-05-28,5.15889,314474.678927
2012-05-29,5.16,0.0
2012-05-30,5.19,199788.736937
2012-05-31,5.27,248544.550774
2012-06-01,5.21,0.0
2012-06-02,5.26466,65399.8309422
2012-06-03,5.2785,206747.034061
2012-06-04,5.27,0.0
2012-06-05,5.47,152083.653544
2012-06-06,5.529,290691.925157
2012-06-07,5.48,0.0
2012-06-08,5.69999,164232.196464
2012-06-09,5.62,195814.146323
2012-06-10,5.68,0.0
2012-06-11,5.7,432563.429841
2012-06-12,5.96,354203.393366
2012-06-13,5.76,0.0
2012-06-14,6.165,312361.653408
2012-06-15,6.599,649100.09516
2012-06-16,6.27,0.0
2012-06-17,6.4668,419938.025059
2012-06-18,6.53294,307427.032909
2012-06-19,6.48,0.0
